# gain=MAX atime_ms=100 simulated=0
t_s,ch0,ch1
0.0000,11350,2408
0.1142,11349,2407
0.2282,11347,2408
0.3421,11345,2407
0.4561,11342,2406
0.5700,11339,2406
0.6839,11344,2407
0.7978,11343,2407
0.9118,11342,2407
1.0257,11343,2406
1.1396,11343,2406
1.2537,11340,2406
1.3677,11340,2406
1.4816,11335,2406
1.5955,11335,2405
1.7095,11335,2406
1.8234,11333,2404
1.9373,11336,2404
2.0512,11333,2404
2.1652,11329,2404
2.2791,11331,2404
2.3930,11330,2403
2.5069,11330,2403
2.6209,11326,2402
2.7348,11326,2402
2.8487,11321,2403
2.9637,11326,2402
3.0789,11324,2402
3.1940,11324,2402
3.3094,11323,2403
3.4246,11321,2403
3.5398,11321,2402
3.6550,11321,2402
3.7702,11320,2402
3.8854,11321,2399
4.0006,11316,2400
4.1158,11317,2400
4.2309,11313,2401
4.3461,11317,2401
4.4613,11310,2400
4.5765,11311,2400
4.6917,11307,2399
4.8071,11307,2400
4.9224,11307,2399
5.0376,11305,2400
5.1528,11305,2398
5.2679,11304,2400
5.3831,11306,2399
5.4983,11301,2399
5.6135,11302,2397
5.7287,11301,2397
5.8434,11302,2398
5.9574,11303,2398
6.0713,11301,2399
6.1852,11299,2397
6.2992,11297,2397
6.4131,11294,2397
6.5270,11292,2395
6.6409,11290,2396
6.7548,11289,2397
6.8688,11291,2395
6.9827,11292,2395
7.0967,11288,2396
7.2107,11289,2395
7.3247,11288,2395
7.4386,11287,2396
7.5526,11286,2395
7.6665,11282,2394
7.7804,11279,2394
7.8943,11281,2395
8.0083,11284,2394
8.1223,11281,2394
8.2362,11280,2393
8.3501,11278,2393
8.4640,11276,2393
8.5779,11275,2391
8.6919,11275,2393
8.8058,11272,2392
8.9197,11273,2392
9.0336,11269,2391
9.1475,11269,2392
9.2615,11269,2391
9.3754,11273,2392
9.4893,11271,2391
9.6032,11266,2392
9.7172,11266,2390
9.8311,11266,2390
9.9450,11263,2391
10.0589,11265,2390
10.1729,11261,2390
10.2868,11259,2390
10.4007,11255,2389
10.5146,11255,2390
10.6285,11259,2389
10.7424,11257,2390
10.8564,11256,2388
10.9715,11255,2388
11.0867,11250,2389
11.2019,11251,2387
11.3171,11250,2388
11.4323,11250,2388
11.5470,11248,2387
11.6610,11245,2387
11.7749,11246,2387
11.8888,11246,2388
12.0027,11241,2386
12.1167,11241,2386
12.2307,11241,2385
12.3446,11238,2385
12.4585,11239,2385
12.5724,11237,2385
12.6863,11234,2385
12.8003,11234,2385
12.9142,11234,2385
13.0281,11231,2384
13.1421,11233,2385
13.2561,11234,2384
13.3701,11231,2384
13.4840,11226,2385
13.5979,11227,2385
13.7118,11227,2383
13.8257,11224,2383
13.9397,11223,2384
14.0536,11223,2383
14.1675,11221,2382
14.2815,11220,2381
14.3954,11217,2382
14.5093,11220,2383
14.6232,11220,2382
14.7372,11216,2381
14.8511,11216,2380
14.9650,11213,2381
15.0789,11211,2381
15.1929,11212,2381
15.3068,11210,2380
15.4207,11211,2382
15.5346,11210,2380
15.6485,11208,2380
15.7625,11207,2379
15.8764,11204,2380
15.9903,11202,2379
16.1043,11201,2378
16.2182,11199,2381
16.3321,11200,2379
16.4460,11203,2379
16.5599,11198,2378
16.6751,11198,2378
16.7904,11195,2377
16.9056,11196,2378
17.0210,11197,2378
17.1362,11194,2377
17.2509,11195,2378
17.3649,11192,2377
17.4788,11190,2376
17.5927,11192,2376
17.7066,11189,2377
17.8206,11187,2376
17.9345,11187,2376
18.0484,11185,2376
18.1624,11184,2377
18.2764,11183,2374
18.3903,11180,2376
18.5042,11181,2375
18.6181,11176,2375
18.7320,11177,2375
18.8459,11179,2373
18.9599,11176,2374
19.0738,11173,2374
19.1878,11173,2374
19.3019,11173,2373
19.4162,11171,2373
19.5303,11170,2374
19.6445,11166,2373
19.7586,11165,2372
19.8725,11161,2372
19.9866,11161,2371
20.1007,11161,2371
20.2149,11159,2371
20.3288,11159,2369
20.4427,11160,2370
20.5568,11158,2371
20.6708,11152,2370
20.7849,11150,2369
20.8990,11152,2369
21.0131,11152,2369
21.1273,11151,2369
21.2414,11147,2369
21.3555,11143,2368
21.4696,11142,2370
21.5836,11143,2369
21.6975,11141,2366
21.8114,11141,2368
21.9254,11143,2368
22.0393,11138,2367
22.1533,11143,2367
22.2680,11135,2366
22.3832,11135,2366
22.4984,11131,2365
22.6138,11132,2366
22.7290,11129,2365
22.8442,11126,2366
22.9590,11128,2365
23.0730,11125,2366
23.1869,11124,2365
23.3008,11123,2364
23.4147,11120,2364
23.5286,11120,2362
23.6426,11116,2363
23.7565,11118,2363
23.8704,11116,2361
23.9844,11118,2363
24.0983,11116,2362
24.2122,11115,2362
24.3261,11111,2360
24.4400,11111,2362
24.5540,11110,2361
24.6679,11107,2360
24.7818,11106,2360
24.8957,11103,2359
25.0096,11102,2359
25.1235,11105,2359
25.2377,11099,2359
25.3516,11096,2359
25.4656,11095,2358
25.5795,11096,2357
25.6934,11097,2357
25.8073,11092,2356
25.9212,11094,2357
26.0352,11093,2358
26.1491,11090,2357
26.2630,11087,2355
26.3769,11087,2355
26.4909,11086,2356
26.6048,11085,2356
26.7187,11081,2355
26.8326,11077,2354
26.9467,11076,2354
27.0607,11074,2354
27.1746,11074,2353
27.2886,11069,2353
27.4025,11069,2353
27.5165,11069,2352
27.6304,11066,2352
27.7443,11067,2351
27.8583,11069,2353
27.9722,11063,2351
28.0875,11060,2351
28.2027,11060,2351
28.3179,11058,2350
28.4331,11057,2351
28.5484,11053,2350
28.6633,11054,2350
28.7772,11051,2349
28.8911,11049,2350
29.0050,11052,2350
29.1190,11048,2348
29.2329,11046,2349
29.3468,11048,2348
29.4607,11042,2348
29.5746,11039,2347
29.6886,11040,2347
29.8025,11035,2347
29.9164,11038,2346
30.0304,11035,2345
30.1443,11034,2345
30.2582,11032,2346
30.3721,11033,2346
30.4861,11026,2345
30.6000,11025,2344
30.7139,11026,2343
30.8278,11022,2343
30.9418,11018,2342
31.0557,11019,2343
31.1698,11020,2341
31.2837,11016,2342
31.3976,11012,2341
31.5115,11014,2340
31.6255,11016,2342
31.7394,11010,2340
31.8533,11007,2340
31.9672,11004,2340
32.0812,11004,2339
32.1951,11000,2340
32.3090,10999,2338
32.4229,11000,2339
32.5369,10997,2338
32.6508,10995,2337
32.7647,10998,2337
32.8786,10993,2338
32.9925,10992,2337
33.1065,10987,2335
33.2205,10989,2336
33.3344,10986,2337
33.4483,10988,2336
33.5623,10987,2335
33.6762,10981,2334
33.7914,10982,2335
33.9066,10977,2334
34.0217,10978,2333
34.1369,10979,2334
34.2521,10977,2333
34.3669,10972,2333
34.4809,10975,2332
34.5949,10974,2334
34.7088,10968,2332
34.8227,10970,2332
34.9366,10969,2331
35.0506,10966,2332
35.1645,10967,2331
35.2784,10967,2331
35.3924,10967,2332
35.5063,10967,2333
35.6203,10966,2332
35.7342,10963,2330
35.8482,10965,2332
35.9621,10963,2330
36.0760,10963,2331
36.1899,10960,2329
36.3038,10963,2331
36.4177,10959,2331
36.5317,10963,2330
36.6456,10962,2332
36.7595,10962,2332
36.8735,10960,2331
36.9874,10959,2329
37.1013,10958,2330
37.2154,10958,2328
37.3294,10959,2330
37.4433,10955,2329
37.5572,10957,2328
37.6712,10957,2328
37.7851,10956,2330
37.8990,10955,2330
38.0129,10956,2329
38.1269,10953,2328
38.2408,10956,2330
38.3547,10956,2329
38.4687,10953,2328
38.5826,10953,2328
38.6965,10954,2329
38.8104,10954,2328
38.9244,10955,2327
